2023-01-01 00:00:00 Temperature 14 sleeping_BP
2023-01-01 00:00:00 Water_use 0 sleeping_BP
2023-01-01 00:00:00 fridge Closed sleeping_BP
2023-01-01 00:00:00 power_use 50 sleeping_BP
2023-01-01 00:00:00 pressure_bed 0 sleeping_BP
2023-01-01 00:00:06 s21 (495,-91) sleeping_BP
2023-01-01 00:00:06 s8 (402,-7) sleeping_BP
2023-01-01 00:00:07 s10 (211,134) sleeping_BP
2023-01-01 00:00:07 s11 (63,-1) sleeping_BP
2023-01-01 00:00:07 s12 (314,-98) sleeping_BP
2023-01-01 00:00:07 s13 (596,-37) sleeping_BP
2023-01-01 00:00:07 s14 (555,29) sleeping_BP
2023-01-01 00:00:07 s15 (721,-150) sleeping_BP
2023-01-01 00:00:07 s17 (779,97) sleeping_BP
2023-01-01 00:00:07 s18 (638,147) sleeping_BP
2023-01-01 00:00:07 s21 (445,-90) sleeping_BP
2023-01-01 00:00:07 s8 (351,-7) sleeping_BP
2023-01-01 00:00:07 s9 (282,121) sleeping_BP
2023-01-01 00:00:08 s10 (185,146) sleeping_BP
2023-01-01 00:00:08 s11 (87,34) sleeping_BP
2023-01-01 00:00:08 s12 (320,-88) sleeping_BP
2023-01-01 00:00:08 s13 (575,-32) sleeping_BP
2023-01-01 00:00:08 s14 (516,33) sleeping_BP
2023-01-01 00:00:08 s15 (683,-147) sleeping_BP
2023-01-01 00:00:08 s17 (731,98) sleeping_BP
2023-01-01 00:00:08 s18 (591,148) sleeping_BP
2023-01-01 00:00:08 s21 (395,-88) sleeping_BP
2023-01-01 00:00:08 s8 (301,-6) sleeping_BP
2023-01-01 00:00:08 s9 (245,128) sleeping_BP
2023-01-01 00:00:09 s10 (170,162) sleeping_BP
2023-01-01 00:00:09 s11 (127,51) sleeping_BP
2023-01-01 00:00:09 s12 (333,-80) sleeping_BP
2023-01-01 00:00:09 s13 (558,-27) sleeping_BP
2023-01-01 00:00:09 s14 (480,37) sleeping_BP
2023-01-01 00:00:09 s15 (646,-144) sleeping_BP
2023-01-01 00:00:09 s17 (683,100) sleeping_BP
